CreatedDate,Pm2.5,Pm10
17-04-2024 20:00,19.75,211.25
17-04-2024 21:00,22.5,235.25
17-04-2024 22:00,28.25,201.5
17-04-2024 23:00,38.5,209.75
18-04-2024 00:00,33.5,203.75
18-04-2024 01:00,45.5,232.75
18-04-2024 02:00,56,232.25
18-04-2024 03:00,44.25,223
18-04-2024 04:00,38.5,194
18-04-2024 05:00,47,198
18-04-2024 06:00,50.5,203.5
18-04-2024 07:00,53.5,222.5
18-04-2024 08:00,60,271.75
18-04-2024 09:00,58.25,294.5
18-04-2024 10:00,35,216.25
18-04-2024 11:00,37.25,174.75
18-04-2024 12:00,42.75,198.25
18-04-2024 13:00,34.25,244.25
18-04-2024 14:00,19.75,157.75
18-04-2024 15:00,17.5,137.5
18-04-2024 16:00,14,134.5
18-04-2024 17:00,17.25,135
18-04-2024 18:00,17.75,124
18-04-2024 19:00,18.5,132
18-04-2024 20:00,28.25,173
18-04-2024 21:00,42,272.75
18-04-2024 22:00,38.25,321.75
18-04-2024 23:00,47,284
19-04-2024 00:00,54.25,307
19-04-2024 01:00,60.25,280.25
19-04-2024 02:00,64.5,285.25
19-04-2024 03:00,58,269.75
19-04-2024 04:00,58.25,254
19-04-2024 05:00,49.5,221
19-04-2024 06:00,47.75,232.75
19-04-2024 07:00,48.25,262.5
19-04-2024 08:00,55.75,339.75
19-04-2024 09:00,62.25,369.5
19-04-2024 10:00,49,328.75
19-04-2024 11:00,53.5,283
19-04-2024 12:00,54,274.25
19-04-2024 13:00,38.25,243.5
19-04-2024 14:00,26,211.25
19-04-2024 15:00,22,157.25
19-04-2024 16:00,18.75,156.5
19-04-2024 17:00,20.25,152.25
19-04-2024 18:00,24.25,187.25
19-04-2024 19:00,17.75,137.5
19-04-2024 20:00,26,181.25
19-04-2024 21:00,41.75,265.75
19-04-2024 22:00,62.25,382
19-04-2024 23:00,61.75,392.25
20-04-2024 00:00,60.5,421.25
20-04-2024 01:00,71.75,408
20-04-2024 02:00,80.5,371.25
20-04-2024 03:00,75.5,315.5
20-04-2024 04:00,85.75,254.5
20-04-2024 05:00,87.75,222
20-04-2024 06:00,68.25,196.5
20-04-2024 07:00,66.75,199.5
20-04-2024 08:00,79.25,275.75
20-04-2024 09:00,95.25,326.75
20-04-2024 10:00,52.75,233
20-04-2024 11:00,55.25,213.25
20-04-2024 12:00,45.75,219.5
20-04-2024 13:00,41,266.75
20-04-2024 14:00,34.75,282
20-04-2024 15:00,25,208.25
20-04-2024 16:00,25.5,194.75
20-04-2024 17:00,26.5,192.5
20-04-2024 18:00,24.5,184
20-04-2024 19:00,23.5,211.75
20-04-2024 20:00,26,235.75
20-04-2024 21:00,29,190.25
20-04-2024 22:00,30,181
20-04-2024 23:00,33.25,179.5
21-04-2024 00:00,33,178
21-04-2024 01:00,30.25,161.5
21-04-2024 02:00,31,167.75
21-04-2024 03:00,32.75,170
21-04-2024 04:00,40.5,163.5
21-04-2024 05:00,43.75,165.5
21-04-2024 06:00,32.75,149.5
21-04-2024 07:00,38.75,159
21-04-2024 08:00,39.75,181.5
21-04-2024 09:00,38.5,182
21-04-2024 10:00,48.75,197.5
21-04-2024 11:00,51.25,197
21-04-2024 12:00,32.75,192
21-04-2024 13:00,25.25,196
21-04-2024 14:00,14.75,200.75
21-04-2024 15:00,17,192.25
21-04-2024 16:00,17.25,158
21-04-2024 17:00,17,174.75
21-04-2024 18:00,15.25,161.75
21-04-2024 19:00,20,179
21-04-2024 20:00,25.5,226.75
21-04-2024 21:00,36.25,219.75
21-04-2024 22:00,44.5,250.5
21-04-2024 23:00,42.75,233
22-04-2024 00:00,49.25,212.25
22-04-2024 01:00,44.25,193.5
22-04-2024 02:00,45.5,220
22-04-2024 03:00,43.5,264.5
22-04-2024 04:00,30.5,303.75
22-04-2024 05:00,21.5,110
22-04-2024 06:00,15.5,49.75
22-04-2024 07:00,10.5,42
22-04-2024 08:00,12.25,57.25
22-04-2024 09:00,21.5,85.25
22-04-2024 10:00,22.75,90.25
22-04-2024 11:00,31.5,107
22-04-2024 12:00,32.5,121.25
22-04-2024 13:00,29.5,129.75
22-04-2024 14:00,21.75,130.75
22-04-2024 15:00,13.5,114.25
22-04-2024 16:00,16.5,97
22-04-2024 17:00,12,81.25
22-04-2024 18:00,13,90
22-04-2024 19:00,16.25,108
22-04-2024 20:00,21.75,160.5
22-04-2024 21:00,37.25,210.25
22-04-2024 22:00,46,226.75
22-04-2024 23:00,64.25,273.5
23-04-2024 00:00,72.5,262.5
23-04-2024 01:00,71.75,241.25
23-04-2024 02:00,85,262.75
23-04-2024 03:00,87.5,253
23-04-2024 04:00,76.5,220.75
23-04-2024 05:00,72.25,206.5
23-04-2024 06:00,59.75,199.75
23-04-2024 07:00,46.75,173.5
23-04-2024 08:00,47.75,216
23-04-2024 09:00,53.5,267.25
23-04-2024 10:00,51.5,232.25
23-04-2024 11:00,42.5,213
23-04-2024 12:00,50.75,240.75
23-04-2024 13:00,65.25,263.5
23-04-2024 14:00,70.25,260.25
23-04-2024 15:00,53,272.75
23-04-2024 16:00,42.75,402.25
23-04-2024 17:00,38,358.75
23-04-2024 18:00,36,399.75
23-04-2024 19:00,34,613
23-04-2024 20:00,21.5,110.5
23-04-2024 21:00,28,157.75
23-04-2024 22:00,25,148.25
23-04-2024 23:00,27.25,141
24-04-2024 00:00,37.25,153.75
24-04-2024 01:00,48.5,183.75
24-04-2024 02:00,51,193.25
24-04-2024 03:00,41.5,204.25
24-04-2024 04:00,34.25,172.5
24-04-2024 05:00,47.5,178.75
24-04-2024 06:00,65.75,200
24-04-2024 07:00,87.75,222.75
24-04-2024 08:00,82.75,225.25
24-04-2024 09:00,74.5,209
24-04-2024 10:00,54,169.25
24-04-2024 11:00,33.75,129.5
24-04-2024 12:00,35.25,148
24-04-2024 13:00,32,139.75
24-04-2024 14:00,33.5,158.75
24-04-2024 15:00,43.5,171.5
24-04-2024 16:00,28.75,140.75
24-04-2024 17:00,15.5,139.25
24-04-2024 18:00,14,133.25
24-04-2024 19:00,15.5,153.25
24-04-2024 20:00,23.5,181
24-04-2024 21:00,37.5,231.75
24-04-2024 22:00,52,266.75
24-04-2024 23:00,64.5,313.5
25-04-2024 00:00,63.5,282
25-04-2024 01:00,56,243
25-04-2024 02:00,64,258.75
25-04-2024 03:00,90,322.25
