CreatedDate,pm25_Lakshmi K: Living room,pm10_Lakshmi K: Living room,aqi_Lakshmi K: Living room
03-05-2024 00:45,68,162,141
03-05-2024 01:00,68,163,142
03-05-2024 01:15,68,162,141
03-05-2024 01:30,68,162,141
03-05-2024 01:45,70,164,143
03-05-2024 02:00,73,165,143
03-05-2024 02:15,76,168,153
03-05-2024 02:30,82,174,173
03-05-2024 02:45,90,183,200
03-05-2024 03:00,106,197,253
03-05-2024 03:15,119,211,297
03-05-2024 03:30,133,223,310
03-05-2024 03:45,145,238,319
03-05-2024 04:00,179,306,345
03-05-2024 04:15,211,364,370
03-05-2024 04:30,214,370,372
03-05-2024 04:45,214,370,372
03-05-2024 05:00,216,374,374
03-05-2024 05:15,217,374,375
03-05-2024 05:30,236,405,389
03-05-2024 05:45,253,423,402
03-05-2024 06:00,263,430,410
03-05-2024 06:15,294,456,434
03-05-2024 06:30,319,475,456
03-05-2024 06:45,339,488,472
03-05-2024 07:00,306,465,444
03-05-2024 07:15,257,428,405
03-05-2024 07:30,228,393,383
03-05-2024 07:45,203,351,364
03-05-2024 08:00,207,357,367
03-05-2024 08:15,196,339,358
03-05-2024 08:30,175,302,342
03-05-2024 08:45,153,257,325
03-05-2024 09:00,142,235,317
03-05-2024 09:15,137,232,313
03-05-2024 09:30,102,195,240
03-05-2024 09:45,92,185,207
03-05-2024 10:00,81,173,170
03-05-2024 10:15,74,166,147
03-05-2024 10:30,71,164,143
03-05-2024 10:45,66,161,141
03-05-2024 11:00,53,146,131
03-05-2024 11:15,49,136,124
03-05-2024 11:30,39,107,105
03-05-2024 11:45,38,106,104
03-05-2024 12:00,35,97,97
03-05-2024 12:15,36,98,98
03-05-2024 12:30,33,91,91
03-05-2024 12:45,32,89,89
03-05-2024 13:00,40,117,111
03-05-2024 13:15,39,111,107
03-05-2024 13:30,40,112,108
03-05-2024 13:45,45,133,122
03-05-2024 14:00,44,132,121
03-05-2024 14:15,42,123,115
03-05-2024 14:30,43,125,117
03-05-2024 14:45,47,142,128
03-05-2024 15:00,43,125,117
03-05-2024 15:15,39,112,108
03-05-2024 15:30,41,116,111
03-05-2024 15:45,41,119,113
03-05-2024 16:00,41,119,113
03-05-2024 16:15,45,135,123
03-05-2024 16:30,45,132,121
03-05-2024 16:45,48,144,129
03-05-2024 17:00,49,150,133
03-05-2024 17:15,43,127,118
03-05-2024 17:30,42,123,115
03-05-2024 17:45,41,118,112
03-05-2024 18:00,42,121,114
03-05-2024 18:15,43,126,117
03-05-2024 18:30,46,138,125
03-05-2024 18:45,47,141,127
03-05-2024 19:00,53,166,144
03-05-2024 19:15,56,176,151
03-05-2024 19:30,75,247,198
03-05-2024 19:45,64,211,174
03-05-2024 20:00,72,243,195
03-05-2024 20:15,73,248,199
03-05-2024 20:30,74,250,200
03-05-2024 20:45,78,258,208
03-05-2024 21:00,85,268,218
03-05-2024 21:15,87,270,220
03-05-2024 21:30,87,271,221
03-05-2024 21:45,87,271,221
03-05-2024 22:00,92,275,225
03-05-2024 22:15,100,284,234
03-05-2024 22:30,108,298,260
03-05-2024 22:45,114,308,280
03-05-2024 23:00,120,317,300
03-05-2024 23:15,118,315,293
03-05-2024 23:30,116,311,287
03-05-2024 23:45,110,301,267
04-05-2024 00:00,102,288,240
04-05-2024 00:15,100,285,235
04-05-2024 00:30,100,284,234
04-05-2024 00:45,99,283,233
04-05-2024 01:00,98,282,232
04-05-2024 01:15,100,285,235
04-05-2024 01:30,98,282,232
04-05-2024 01:45,97,280,230
04-05-2024 02:00,95,278,228
04-05-2024 02:15,94,277,227
04-05-2024 02:30,94,277,227
04-05-2024 02:45,97,280,230
04-05-2024 03:00,103,290,243
04-05-2024 03:15,108,298,260
04-05-2024 03:30,126,328,305
04-05-2024 03:45,144,355,318
04-05-2024 04:00,161,378,335
04-05-2024 04:15,204,429,399
04-05-2024 04:30,268,506,495
04-05-2024 04:45,298,535,531
