CreatedDate,Pm2.5,Pm10
16-04-2024 15:00,27.25,204.75
16-04-2024 16:00,26,218.25
16-04-2024 17:00,19,159.25
16-04-2024 18:00,15,124.75
16-04-2024 19:00,13.25,137.25
16-04-2024 20:00,22.25,187.25
16-04-2024 21:00,39,239.5
16-04-2024 22:00,41,218.5
16-04-2024 23:00,40.25,205.25
17-04-2024 00:00,47.75,200.25
17-04-2024 01:00,50.5,179.25
17-04-2024 02:00,53.25,167.5
17-04-2024 03:00,59.75,162.25
17-04-2024 04:00,73.5,157
17-04-2024 05:00,88.5,183.75
17-04-2024 06:00,84,199.25
17-04-2024 07:00,86,172.25
17-04-2024 08:00,101.25,247.25
17-04-2024 09:00,119.25,391.25
17-04-2024 10:00,81.5,258
17-04-2024 11:00,49.75,154.5
17-04-2024 12:00,29.5,139.5
17-04-2024 13:00,22.25,152
17-04-2024 14:00,16,127.75
17-04-2024 15:00,22.5,151.5
17-04-2024 16:00,24,162
17-04-2024 17:00,23.75,137.25
17-04-2024 18:00,24,145.75
17-04-2024 19:00,25.25,155.25
17-04-2024 20:00,20,169.25
17-04-2024 21:00,23.75,181.75
17-04-2024 22:00,36,220.25
17-04-2024 23:00,43.75,252.5
18-04-2024 00:00,55.5,242
18-04-2024 01:00,55.5,253.25
18-04-2024 02:00,80.5,267.5
18-04-2024 03:00,79.25,277.5
18-04-2024 04:00,62.25,253.5
18-04-2024 05:00,101.25,309.75
18-04-2024 06:00,139,366.5
18-04-2024 07:00,160.25,459.5
18-04-2024 08:00,180.5,636.5
18-04-2024 09:00,157.25,556.5
18-04-2024 10:00,142,428.75
18-04-2024 11:00,92.5,292.5
18-04-2024 12:00,54,186.75
18-04-2024 13:00,29.75,112
18-04-2024 14:00,20.5,99.5
18-04-2024 15:00,23.25,115.5
18-04-2024 16:00,26,135
18-04-2024 17:00,22.25,112.75
18-04-2024 18:00,22,110.75
18-04-2024 19:00,32.25,189.5
18-04-2024 20:00,47.5,351.25
18-04-2024 21:00,48.25,372
18-04-2024 22:00,34,246
18-04-2024 23:00,51.5,316.75
19-04-2024 00:00,50.75,402.25
19-04-2024 01:00,52.5,328.75
19-04-2024 02:00,50,271.5
19-04-2024 03:00,49.25,260.75
19-04-2024 04:00,60,282
19-04-2024 05:00,72.25,292.75
19-04-2024 06:00,78.25,297.5
19-04-2024 07:00,92.75,347.5
19-04-2024 08:00,96,438.75
19-04-2024 09:00,119.5,476
19-04-2024 10:00,114,399.25
19-04-2024 11:00,70.5,295
19-04-2024 12:00,52.75,230.75
19-04-2024 13:00,36,200
19-04-2024 14:00,24.75,195.75
19-04-2024 15:00,26.5,199.5
19-04-2024 16:00,24.75,220.75
19-04-2024 17:00,23.75,154
19-04-2024 18:00,23.5,197.75
19-04-2024 19:00,27,188.75
19-04-2024 20:00,36.75,269.25
19-04-2024 21:00,53.5,357
19-04-2024 22:00,70.75,459
19-04-2024 23:00,74.75,425
20-04-2024 00:00,79.5,537
20-04-2024 01:00,79.25,523
20-04-2024 02:00,83.75,489.25
20-04-2024 03:00,90.75,481.25
20-04-2024 04:00,104,499.25
20-04-2024 05:00,89,318.75
20-04-2024 06:00,61,227.5
20-04-2024 07:00,110,418.25
20-04-2024 08:00,173.75,605
20-04-2024 09:00,124.75,430.25
20-04-2024 10:00,76.5,263.75
20-04-2024 11:00,65.75,263.5
20-04-2024 12:00,53.5,207
20-04-2024 13:00,43.5,224
20-04-2024 14:00,33.75,225.25
20-04-2024 15:00,27.25,202.5
20-04-2024 16:00,27,173
20-04-2024 17:00,24.75,162.75
20-04-2024 18:00,26.25,169.25
20-04-2024 19:00,25,176.75
20-04-2024 20:00,27.75,183.25
20-04-2024 21:00,29.75,175.25
20-04-2024 22:00,38.25,189.25
20-04-2024 23:00,42,175
21-04-2024 00:00,51.25,None
21-04-2024 01:00,50,None
21-04-2024 02:00,43.5,None
21-04-2024 03:00,42,None
21-04-2024 04:00,43.25,None
